rent,bed,bath,school,elemenatary_school,middle_school,high_school,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,area_Allston,area_Back Bay/ Beacon Hill,area_Central,area_Charlestown,area_Dorchester,area_East Boston,area_Fenway,area_Hyde Park,area_Jamaica Plain,area_Mattapan,area_Mission Hill,area_Roslindale,area_Roxbury,area_South Boston,area_South End,area_West Roxbury,property_type_apartment,property_type_condo,property_type_multifamily,property_type_singlefamily,property_type_townhouse,crime_High,crime_Highest,crime_Low,crime_Lowest,crime_Moderate,area
2200,2.0,1.0,5,3,0,2,41,3,1,0,0,1,1,0,1,1,203,36,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
3275,3.0,1.0,11,7,4,0,41,4,1,0,1,1,1,0,0,1,285,38,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2200,2.0,1.0,10,4,3,3,41,3,1,0,0,1,1,0,0,0,361,49,148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3150,4.0,2.0,12,6,3,3,41,0,0,0,0,0,0,0,1,0,203,33,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
1850,2.0,1.0,7,3,2,2,41,4,1,0,0,1,1,1,1,1,282,40,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3400,4.0,1.0,11,7,4,0,41,2,0,0,1,0,0,1,0,1,302,44,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
1750,1.0,1.0,8,4,2,2,41,0,0,0,0,0,0,0,0,0,210,36,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2400,2.0,1.0,6,4,2,0,41,1,1,0,0,0,0,0,1,0,409,58,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
3600,5.0,1.0,12,6,3,3,41,3,1,0,0,1,1,0,0,0,205,39,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
3000,4.0,1.0,11,5,3,3,41,5,1,0,1,1,1,1,1,1,284,36,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2200,2.0,1.0,12,6,3,3,41,3,1,0,0,1,1,0,0,0,258,43,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
2627,3.0,1.0,7,3,2,2,41,5,1,1,1,1,1,0,1,1,88,14,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,East Boston
3200,4.0,1.0,11,5,3,3,41,5,1,0,1,1,1,1,1,1,284,36,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3500,3.0,2.0,7,5,2,0,41,4,1,0,1,1,1,0,1,0,472,62,194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2695,4.0,1.0,10,4,3,3,41,1,0,0,0,0,0,1,0,1,345,46,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2500,3.0,1.0,12,6,3,3,41,0,0,0,0,0,0,0,1,0,198,34,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2500,2.0,1.0,10,6,4,0,41,5,1,0,1,1,1,1,1,1,406,64,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,East Boston
1895,2.0,1.0,7,3,2,2,41,4,1,0,0,1,1,1,1,1,282,40,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2850,4.0,1.0,8,4,2,2,41,5,1,0,1,1,1,1,1,0,65,7,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2000,1.0,1.0,9,5,2,2,41,0,0,0,0,0,0,0,0,0,199,37,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,East Boston
2295,1.0,1.0,12,6,3,3,41,6,1,1,1,1,1,1,0,1,223,36,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2200,2.0,1.0,6,4,1,1,41,2,0,0,1,0,0,1,1,1,196,32,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2800,4.0,1.0,6,2,2,2,41,4,1,0,1,1,1,0,0,1,121,20,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2200,2.0,2.0,11,5,3,3,41,5,1,0,1,1,1,1,0,1,261,35,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
1775,1.0,1.0,2,2,0,0,41,0,0,0,0,0,0,0,1,0,55,8,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2400,1.0,1.0,6,2,2,2,56,2,0,0,1,0,0,1,1,0,497,77,177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
1850,1.0,1.0,8,2,3,3,56,1,1,0,0,0,0,0,1,0,543,75,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2150,1.0,1.0,4,2,2,0,56,3,0,1,1,0,0,1,1,0,614,80,212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3500,1.0,1.0,3,1,1,1,56,6,1,1,1,1,1,1,1,0,515,72,204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3400,2.0,1.0,5,1,2,2,56,6,1,1,1,1,1,1,1,0,239,37,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3400,3.0,2.0,6,2,2,2,56,2,1,1,0,0,0,0,1,0,323,54,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2500,1.0,1.0,6,2,2,2,56,0,0,0,0,0,0,0,0,0,281,37,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3750,1.0,1.0,3,1,1,1,56,4,1,1,0,1,1,0,1,1,383,67,141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2500,2.0,1.0,8,2,3,3,56,3,1,0,0,1,1,0,1,1,462,65,164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2800,2.0,1.0,6,2,2,2,56,1,1,0,0,0,0,0,1,0,427,68,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2600,2.0,1.0,6,2,2,2,56,1,0,0,0,0,0,1,1,0,376,64,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2750,2.0,1.0,6,2,2,2,56,1,1,0,0,0,0,0,1,0,361,64,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
1800,1.0,1.0,6,2,2,2,56,1,1,0,0,0,0,0,1,0,418,68,148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
4500,3.0,2.0,8,2,3,3,56,6,1,1,1,1,1,1,1,0,462,68,166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3350,3.0,2.0,6,2,2,2,56,0,0,0,0,0,0,0,1,0,333,58,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Charlestown
2600,2.0,1.0,5,1,2,2,56,1,1,0,0,0,0,0,1,0,258,41,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
1900,1.0,1.0,6,2,2,2,56,1,1,0,0,0,0,0,1,0,361,64,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2400,1.0,1.0,6,2,2,2,56,4,1,0,1,1,1,0,1,0,479,71,175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3150,3.0,1.0,6,2,2,2,56,1,1,0,0,0,0,0,1,0,409,62,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
3000,3.0,2.0,5,1,2,2,56,3,1,0,1,0,0,1,1,0,237,37,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Charlestown
2450,1.0,1.0,6,2,2,2,56,5,1,0,1,1,1,1,1,0,262,37,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Charlestown
2100,2.0,1.0,15,5,5,5,31,3,1,0,0,1,1,0,0,1,342,38,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
3600,4.0,2.0,26,8,9,9,31,0,0,0,0,0,0,0,1,0,309,41,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2800,3.0,1.0,26,8,9,9,31,1,0,0,0,0,0,1,1,1,314,41,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2250,2.0,1.0,20,6,7,7,31,0,0,0,0,0,0,0,1,0,312,41,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
1900,2.0,1.0,20,6,7,7,31,4,1,0,0,1,1,1,1,1,297,38,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2000,2.0,1.0,23,7,8,8,31,3,1,0,0,1,1,0,1,0,304,39,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2800,3.0,1.0,25,7,9,9,31,5,1,0,1,1,1,1,1,1,314,41,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2100,2.0,1.0,20,6,7,7,31,4,1,0,0,1,1,1,0,0,295,39,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Allston
2800,3.0,1.0,20,6,7,7,31,4,1,0,1,1,1,0,1,0,327,40,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2250,2.0,1.0,23,7,8,8,31,3,1,0,0,1,1,0,1,1,327,40,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
