rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundary,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
2700,Charlestown,multifamily,3.0,1.0,9,1,4,4,Lowest,56,2,0,0,0,1,1,0,1,1,112,33,18,https://www.trulia.com/p/ma/charlestown/633-boston-pl-2-charlestown-ma-02129--2469382733
2200,Charlestown,multifamily,2.0,1.0,5,1,2,2,Lowest,56,5,0,1,1,1,1,1,1,0,270,43,91,https://www.trulia.com/p/ma/boston/3-essex-st-g2-boston-ma-02129--2209298121
3075,Charlestown,multifamily,3.0,1.0,8,2,3,3,Moderate,56,2,0,0,0,1,1,0,0,0,426,64,146,https://www.trulia.com/p/ma/boston/85-ferrin-st-3-boston-ma-02129--2171576206
3075,Charlestown,multifamily,3.0,1.0,8,2,3,3,Moderate,56,2,0,0,1,0,0,1,1,0,426,64,146,https://www.trulia.com/p/ma/charlestown/address-not-disclosed-charlestown-ma-02129--2171576206
2100,Charlestown,multifamily,1.0,1.0,6,2,2,2,Lowest,56,0,0,0,0,0,0,0,1,0,361,64,123,https://www.trulia.com/p/ma/boston/267-main-st-3a-boston-ma-02129--2171826028
3500,Charlestown,multifamily,3.0,2.0,6,2,2,2,Lowest,56,2,0,0,1,0,0,1,1,1,281,37,97,https://www.trulia.com/p/ma/boston/18-allston-st-3-boston-ma-02129--2172022361
4200,Charlestown,multifamily,4.0,2.0,6,2,2,2,Lowest,56,2,0,0,1,0,0,1,1,1,225,46,68,https://www.trulia.com/p/ma/charlestown/23-caldwell-st-1-charlestown-ma-02129--2171568142
2500,Charlestown,multifamily,1.0,1.0,6,2,2,2,Lowest,56,0,0,0,0,0,0,0,0,0,281,37,97,https://www.trulia.com/p/ma/boston/18-allston-st-1-boston-ma-02129--2282558767
4600,Charlestown,multifamily,4.0,2.0,6,2,2,2,Lowest,56,4,0,0,1,1,1,1,0,0,225,46,68,https://www.trulia.com/p/ma/boston/25-caldwell-st-2-boston-ma-02129--2001534369
4532,Charlestown,apartment,3.0,2.0,6,2,2,2,Lowest,56,4,0,1,1,1,1,0,1,1,225,46,68,https://www.trulia.com/c/ma/charlestown/mezzo-design-lofts-30-caldwell-st-charlestown-ma-02129--1001443168
