rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
3150,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,4,1,0,1,1,1,0,0,1,285,38,99
3100,East Boston,multifamily,3.0,1.0,9,5,2,2,Low,41,4,1,0,0,1,1,1,0,0,167,43,32
2850,East Boston,multifamily,3.0,1.0,4,3,0,1,Lowest,41,3,1,0,0,1,1,0,0,0,199,31,53
2200,East Boston,multifamily,2.0,1.5,11,5,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,284,38,105
2700,East Boston,multifamily,3.0,1.0,12,6,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,204,32,59
2900,East Boston,multifamily,3.0,1.0,6,2,2,2,Lowest,41,0,0,0,0,0,0,0,0,0,141,24,26
3700,East Boston,multifamily,6.0,2.5,7,3,2,2,Lowest,41,3,1,0,1,0,0,1,1,0,289,42,111
5000,East Boston,multifamily,5.0,2.0,10,4,3,3,Low,41,5,1,0,1,1,1,1,0,0,501,64,203
3595,East Boston,multifamily,4.0,1.5,9,5,2,2,Moderate,41,3,1,0,0,1,1,0,0,0,164,37,36
3275,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,5,1,0,1,1,1,1,1,1,285,38,99
3275,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,4,1,0,1,1,1,0,0,1,285,38,99
3300,East Boston,multifamily,4.0,1.0,12,6,3,3,Lowest,41,3,1,0,0,1,1,0,0,0,204,32,59
2600,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,1,0,0,0,0,0,1,0,1,439,59,178
4500,East Boston,multifamily,5.0,3.0,6,4,1,1,Lowest,41,5,1,0,1,1,1,1,1,1,54,9,9
4800,East Boston,multifamily,5.0,2.0,10,4,3,3,Low,41,5,1,0,1,1,1,1,0,0,501,64,203
3200,East Boston,multifamily,3.0,1.0,6,4,1,1,Low,41,5,1,0,1,1,1,1,0,1,199,31,56
3650,East Boston,multifamily,4.0,2.0,11,7,4,0,Low,41,5,1,0,1,1,1,1,0,1,225,32,69
