rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
5540,Charlestown,multifamily,2.0,2.0,3,1,1,1,Low,56,6,1,1,1,1,1,1,1,1,494,69,177,https://www.trulia.com/p/ma/charlestown/23-1st-ave-charlestown-ma-02129--2001534031
3300,Roxbury,multifamily,5.0,2.0,10,6,2,2,High,53,2,0,0,1,0,0,1,0,0,228,57,32,https://www.trulia.com/p/ma/boston/3-presby-pl-boston-ma-02119--1087476646
3100,East Boston,multifamily,3.0,2.0,9,5,2,2,Moderate,41,5,1,0,1,1,1,1,1,0,167,43,32,https://www.trulia.com/p/ma/boston/70-72-w-eagle-st-3-boston-ma-02128--2450721495
3200,South End,multifamily,2.0,1.0,12,4,4,4,Low,32,5,1,0,1,1,1,1,1,0,700,102,241,https://www.trulia.com/p/ma/boston/423-shawmut-ave-31-boston-ma-02118--2171809269
2400,Roslindale,multifamily,2.0,1.0,2,2,0,0,Lowest,66,5,1,0,1,1,1,1,1,0,79,17,15,https://www.trulia.com/p/ma/boston/35-mendelssohn-st-1-boston-ma-02131--2333948198
1550,Dorchester,multifamily,1.0,1.0,11,5,3,3,Lowest,55,1,0,0,1,0,0,0,1,1,149,28,17,https://www.trulia.com/p/ma/dorchester/842r-dorchester-ave-basement-dorchester-ma-02125--2461351048
3100,Allston,multifamily,4.0,1.0,20,6,7,7,Low,31,2,0,0,1,0,0,1,0,0,323,40,68,https://www.trulia.com/p/ma/boston/12-reedsdale-st-1-boston-ma-02134--2171575054
4300,South Boston,multifamily,3.0,2.5,12,4,4,4,Lowest,53,4,1,1,0,1,1,0,1,0,454,81,166,https://www.trulia.com/p/ma/boston/149-w-6th-st-149-boston-ma-02127--2474533633
2850,Fenway,multifamily,1.0,1.0,4,0,1,3,Moderate,21,1,0,0,0,0,0,1,0,0,644,65,220,https://www.trulia.com/p/ma/boston/24-westland-ave-23-boston-ma-02115--2172406822
2800,Roxbury,multifamily,3.0,1.0,14,8,3,3,Low,53,3,1,0,0,1,1,0,1,0,151,39,23,https://www.trulia.com/p/ma/boston/94-harrishof-st-2-boston-ma-02121--2437326377
2185,Roslindale,multifamily,2.0,1.0,10,4,3,3,Lowest,66,3,1,0,1,0,0,1,1,0,70,17,14,https://www.trulia.com/p/ma/roslindale/201-florence-st-roslindale-ma-02131--1086687313
2700,Roxbury,apartment,2.0,1.0,12,2,5,5,Highest,53,5,1,1,1,1,1,0,1,0,524,81,168,https://www.trulia.com/p/ma/boston/38-williams-st-3-boston-ma-02119--2332846335
3200,Roxbury,multifamily,4.0,1.0,15,5,5,5,Lowest,53,3,1,0,0,1,1,0,0,1,340,50,59,https://www.trulia.com/p/ma/boston/29-lambert-st-4-boston-ma-02119--2001458761
3587,South Boston,apartment,2.0,2.0,3,1,1,1,Lowest,42,6,1,1,1,1,1,1,1,1,828,112,321,https://www.trulia.com/c/ma/boston/315-on-a-315-a-st-boston-ma-02210--2001863380
3250,Allston,multifamily,4.0,2.0,23,7,8,8,Lowest,31,3,1,0,0,1,1,0,0,0,307,35,69,https://www.trulia.com/p/ma/boston/24-linden-st-1-boston-ma-02134--2171568137
2400,Dorchester,multifamily,2.0,1.0,10,5,5,0,Lowest,63,1,1,0,0,0,0,0,1,1,104,23,15,https://www.trulia.com/p/ma/dorchester/52-king-st-1-dorchester-ma-02122--2123733189
2695,West Roxbury,multifamily,4.0,2.0,0,0,0,0,Lowest,83,5,1,0,1,1,1,1,1,1,59,13,7,https://www.trulia.com/p/ma/boston/4803-washington-st-1-boston-ma-02132--2175053782
1850,Dorchester,multifamily,2.0,1.0,8,5,3,0,Moderate,54,0,0,0,0,0,0,0,1,0,139,32,15,https://www.trulia.com/p/ma/dorchester-center/40-bradlee-st-3-dorchester-center-ma-02124--2480494570
4500,Allston,multifamily,5.0,2.0,20,6,7,7,Lowest,31,5,1,0,1,1,1,1,1,0,308,41,64,https://www.trulia.com/p/ma/boston/23-greylock-rd-1-boston-ma-02134--2001584358
3000,West Roxbury,singlefamily,3.0,1.5,3,1,1,1,Lowest,83,3,1,0,0,1,1,0,1,0,67,15,15,https://www.trulia.com/p/ma/west-roxbury/78-parklawn-rd-west-roxbury-ma-02132--2001575230
3700,Roxbury,multifamily,5.0,1.5,11,9,1,1,Low,53,4,1,0,0,1,1,1,1,0,244,60,37,https://www.trulia.com/p/ma/boston/34-circuit-st-3-boston-ma-02119--2284731216
2700,Jamaica Plain,multifamily,3.0,1.0,23,9,7,7,Moderate,42,2,0,0,1,0,0,1,0,1,219,36,33,https://www.trulia.com/p/ma/boston/304-centre-st-2-boston-ma-02130--2171482116
3500,Mission Hill,multifamily,3.0,1.0,33,11,11,11,Lowest,23,0,0,0,0,0,0,0,1,0,343,43,76,https://www.trulia.com/p/ma/mission-hill/address-not-disclosed-mission-hill-ma-02120--2171568778
3150,East Boston,multifamily,4.0,2.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,203,33,57,https://www.trulia.com/p/ma/boston/address-not-disclosed-boston-ma-02128--2171486677
1795,Dorchester,multifamily,2.0,1.0,17,7,5,5,Highest,54,0,0,0,0,0,0,0,1,0,128,32,17,https://www.trulia.com/p/ma/dorchester-center/26-rosedale-st-2-dorchester-center-ma-02124--2435538951
3000,Fenway,multifamily,2.0,1.0,4,0,1,3,Moderate,21,0,0,0,0,0,0,0,1,0,644,65,220,https://www.trulia.com/p/ma/boston/32-westland-ave-17-boston-ma-02115--2172406299
2400,South Boston,multifamily,2.0,1.0,18,6,6,6,Lowest,53,0,0,0,0,0,0,0,0,0,244,53,86,https://www.trulia.com/p/ma/boston/222-w-9th-st-1-boston-ma-02127--2173960939
1700,Allston,multifamily,1.0,1.0,14,4,5,5,Low,31,0,0,0,0,0,0,0,0,0,319,41,68,https://www.trulia.com/p/ma/boston/64-brighton-ave-211-boston-ma-02134--2171577634
2700,Hyde Park,multifamily,3.0,1.0,5,3,1,1,Lowest,76,4,1,0,0,1,1,1,1,0,35,8,3,https://www.trulia.com/p/ma/boston/64-loring-st-2-boston-ma-02136--2436137255
3950,Roxbury,multifamily,5.0,2.0,15,7,4,4,Low,53,5,1,0,1,1,1,1,0,0,289,59,47,https://www.trulia.com/p/ma/boston/37-juniper-st-boston-ma-02119--1004093024
2200,East Boston,multifamily,3.0,1.0,12,6,3,3,Moderate,41,1,1,0,0,0,0,0,1,0,182,39,40,https://www.trulia.com/p/ma/boston/23-eutaw-st-2-boston-ma-02128--2358940250
2300,Roxbury,multifamily,2.0,1.0,12,4,4,4,Lowest,53,4,1,0,1,1,1,0,1,0,240,38,36,https://www.trulia.com/p/ma/boston/27-beech-glen-st-3-boston-ma-02119--2179625801
2800,Roxbury,multifamily,4.0,1.5,15,9,3,3,Low,53,0,0,0,0,0,0,0,1,0,291,63,58,https://www.trulia.com/p/ma/boston/46-mount-pleasant-ave-3-boston-ma-02119--2480495459
2700,Dorchester,multifamily,3.0,1.5,11,5,3,3,Lowest,55,2,1,0,1,0,0,0,1,1,167,34,21,https://www.trulia.com/p/ma/dorchester/125-pleasant-st-1c-dorchester-ma-02125--2464363181
